id,nome,categoria,avaliacao,tempo_entrega,taxa_entrega,distancia,url,endereco,telefone,horario_funcionamento,pedido_minimo,promocoes,extracted_at,category,city
c518771a60a0cbf2ceb2822b4839a85b,Início,Restaurantes,4.8,45-55 min,Grátis,0.1 km,https://www.ifood.com.br/delivery/birigui-sp/kanabara-acai-jardim-sao-conrado/8963acae-6841-4558-938b-915e2a4c2a6b,"R. Euclídes da Cunha,
91",,,,,2025-07-04T01:19:17.849904,Açaí,Birigui
f747b2acd55a4225d3a7701c58df0e75,Açaí,Ordenar,4.8,45-55 min,Grátis,0.1 km,https://www.ifood.com.br/delivery/birigui-sp/kanabara-acai-jardim-sao-conrado/8963acae-6841-4558-938b-915e2a4c2a6b,,,,,,2025-07-04T01:19:18.098799,Açaí,Birigui
f09c6a9436f83691e6b4e412a3426a5d,Kanabara Açai,Açaí,4.8,45-55 min,Grátis,0.1 km,https://www.ifood.com.br/delivery/birigui-sp/kanabara-acai-jardim-sao-conrado/8963acae-6841-4558-938b-915e2a4c2a6b,,,,,,2025-07-04T01:19:18.245941,Açaí,Birigui
2d32c1d1af7906c12e49d2d75db671ed,Açaí + Sabor,Açaí,4.8,55-65 min,"R$ 4,99",1.3 km,https://www.ifood.com.br/delivery/birigui-sp/acai--sabor-centro/50d88bec-a966-45a3-94b4-f0a7b1622626,,,,,,2025-07-04T01:19:18.865919,Açaí,Birigui
563e7676e3b3b34d11b254ff19f86bcc,Gaby Açaiteria e Lanchonete,Açaí,4.7,Não informado,"R$ 3,99",0.5 km,https://www.ifood.com.br/delivery/birigui-sp/gaby-acaiteria-e-lanchonete-residencial-monte-libano/bfe4890f-8143-43b1-a338-25e97e548d0a,,,,,,2025-07-04T01:19:19.194817,Açaí,Birigui
07d6fe4fde8bdd9f5589f0e7805fc99b,Peçaí Delivery,Novidade,0.0,Não informado,"R$ 3,99",0.6 km,https://www.ifood.com.br/delivery/birigui-sp/pecai-delivery-chacaras-caicara/93033173-d907-4081-8e10-20570aac46e6,,,,,,2025-07-04T01:19:19.510636,Açaí,Birigui
81a39908f17e16d33e4766ee533a03d6,Natura Polpas e Acai,Açaí,4.9,Não informado,"R$ 4,00",0.3 km,https://www.ifood.com.br/delivery/birigui-sp/natura-polpas-e-acai-vila-moimaz/1342910d-5963-4ff9-8d40-9dbdeb9c21f8,,,,,,2025-07-04T01:19:19.842568,Açaí,Birigui
b9af879e6e5dac0b7a87e46cf1954d3b,Pede Aí! Açai da Pri Loja silvares,Açaí,4.9,Não informado,"R$ 3,00",0.6 km,https://www.ifood.com.br/delivery/birigui-sp/pede-ai-acai-da-pri---loja-silvares-jardim-sao-conrado/c8b8d7a3-d8e1-4389-9630-6999487e4690,,,,,,2025-07-04T01:19:20.159163,Açaí,Birigui
7df3eab4e37ee67a040db71f2a70598f,Sabor da Selva Açaí,Novidade,0.0,Não informado,"R$ 4,00",0.6 km,https://www.ifood.com.br/delivery/birigui-sp/sabor-da-selva-acai-recanto-verde/a3980d98-d477-4662-a188-94f852aac848,,,,,,2025-07-04T01:19:20.487910,Açaí,Birigui
1f7c8b32957c88b6e9f883b6339c808e,Açaí Explosão,Açaí,5.0,Não informado,"R$ 5,99",1.4 km,https://www.ifood.com.br/delivery/birigui-sp/acai-explosao-jardim-sao-braz/6fc9f686-87c3-4835-91f8-9add371afcf6,,,,,,2025-07-04T01:19:20.812446,Açaí,Birigui
9cdc875fe9204f7a3821cbdc20bfd049,Tutti Frutas Sorvetes e Açaí,Açaí,4.6,Não informado,"R$ 6,99",1.6 km,https://www.ifood.com.br/delivery/birigui-sp/tutti-frutas-sorvetes-e-acai-centro/7ee1794d-8fdd-410e-a963-86bbb8b68171,,,,,,2025-07-04T01:19:21.160251,Açaí,Birigui
64d29fe77134c10ee6281c10e9120afb,Cantinho Cocana,Novidade,0.0,Não informado,"R$ 5,99",1.8 km,https://www.ifood.com.br/delivery/birigui-sp/cantinho-cocana-centro/f19a652c-f230-4e08-899b-c77dec31956f,,,,,,2025-07-04T01:19:21.503251,Açaí,Birigui
7414f6b61891b7dce72d35b00df7ac29,Rota do Açai e Sorveteira Birigui,Açaí,0.0,Não informado,"R$ 6,99",1.9 km,https://www.ifood.com.br/delivery/birigui-sp/rota-do-acai-e-sorveteira-birigui-cidade-jardim/4f96cf7e-27e2-43ef-ac9d-aafa8832e509,,,,,,2025-07-04T01:19:21.804904,Açaí,Birigui
e4ab6f932fbd5c9a26afb46c51b3d485,Brutu's Sorvetes,Novidade,0.0,Não informado,"R$ 6,99",1.9 km,https://www.ifood.com.br/delivery/birigui-sp/brutus-sorvetes-jardim-sao-braz/f0c8c4a9-d137-4209-9e88-4c2a14498608,,,,,,2025-07-04T01:19:22.181285,Açaí,Birigui
d316985d421b2948cecc77c324d1438e,Açaiteria Monte Libano - Cupom de R$10,Açaí,5.0,Não informado,"R$ 5,99",2.0 km,https://www.ifood.com.br/delivery/birigui-sp/acaiteria-monte-libano---cupom-de-r10-residencial-monte-libano/046ff8c1-e43a-493b-a709-e39663761fc9,,,,,,2025-07-04T01:19:22.506575,Açaí,Birigui
43b26b5981e74dd27b26ebf7724fd714,Açaí da Mih,Açaí,5.0,Não informado,"R$ 6,99",2.1 km,https://www.ifood.com.br/delivery/birigui-sp/acai-da-mih-vila-saudades/494c1f58-dc3b-42d0-8bb6-5689694dd609,,,,,,2025-07-04T01:19:22.830274,Açaí,Birigui
cdc12b9cd120d567664ec2a3e30d7065,Laçaí Açaiteria e Caldos Birigui,Açaí,5.0,Não informado,"R$ 6,99",2.2 km,https://www.ifood.com.br/delivery/birigui-sp/lacai-acaiteria-e-caldos-birigui-jardim-santana/ad3f3957-123a-4769-a666-63e66efd5c29,,,,,,2025-07-04T01:19:23.130666,Açaí,Birigui
c1c731b0ae764010bb2bb4e8f00c87f5,Açai do Guerra,Açaí,5.0,Não informado,"R$ 7,99",2.2 km,https://www.ifood.com.br/delivery/birigui-sp/acai-do-guerra-residencial-art-ville/e582982a-032b-4242-9877-22e3946cbd12,,,,,,2025-07-04T01:19:23.443437,Açaí,Birigui
b574c40f992b08ad2c38605eee58fe8d,Açai da Fruti,Novidade,0.0,Não informado,"R$ 7,99",2.2 km,https://www.ifood.com.br/delivery/birigui-sp/acai-da-fruti-nucleo-habitacional-ivone-alves-palma/cfbf6d9b-c9e1-41fc-955d-a16858bbb5f9,,,,,,2025-07-04T01:19:23.758980,Açaí,Birigui
f53329a9d76442694814ee1065ff60ca,Açaí da Gi,Açaí,0.0,Não informado,"R$ 6,99",2.4 km,https://www.ifood.com.br/delivery/birigui-sp/acai-da-gi-res-monte-libano/b7d3f595-5794-4658-a7ab-4fbdc170442e,,,,,,2025-07-04T01:19:24.061513,Açaí,Birigui
0cf488b91afd118456091f280bb466b1,Açaí da Vivi,Açaí,0.0,Não informado,"R$ 6,99",2.4 km,https://www.ifood.com.br/delivery/birigui-sp/acai-da-vivi-residencial-moimaz/811ae96f-6eef-4c61-b7c4-aa94876a21e4,,,,,,2025-07-04T01:19:24.371853,Açaí,Birigui
52e65e54809f1aa5148e0ceb889dfd69,O Açaí da Viih,Açaí,0.0,Não informado,"R$ 7,99",2.9 km,https://www.ifood.com.br/delivery/birigui-sp/o-acai-da-viih-res-pedro-marin-berbel/a18b95ea-e511-41aa-82cc-4bb71a83c07e,,,,,,2025-07-04T01:19:24.680710,Açaí,Birigui
310eb27e20d405f50e5a6940880ad226,Di Matteo Açai - Birigui,Açaí,4.9,Não informado,"R$ 4,00",1.6 km,https://www.ifood.com.br/delivery/birigui-sp/di-matteo-acai---birigui-centro/743fd234-4331-4f3d-a506-45661db8524c,,,,,,2025-07-04T01:19:24.987713,Açaí,Birigui
83a68fa8de17391fb106b6c649977916,La Tribo Açaiteria,Açaí,4.9,Não informado,"R$ 1,99",2.0 km,https://www.ifood.com.br/delivery/birigui-sp/la-tribo-acaiteria-jardim-perola/e6251f5d-0d97-440e-a10b-189aca0f0c98,,,,,,2025-07-04T01:19:25.285666,Açaí,Birigui
e15bbe7869bef5189445c9a39ca7ddea,Hakunah Açaíteria,Açaí,4.9,Não informado,"R$ 1,99",2.0 km,https://www.ifood.com.br/delivery/birigui-sp/hakunah-acaiteria-centro/165866af-1a97-4495-a9f1-4e86942f8faf,,,,,,2025-07-04T01:19:25.587614,Açaí,Birigui
27a4237c079d12e59ecf87fbf64a14bc,Açaí Sunset 018,Açaí,0.0,Não informado,"R$ 2,99",2.0 km,https://www.ifood.com.br/delivery/birigui-sp/acai-sunset-018-quemil/4d33c13f-7602-4e28-8345-944d4aea02ee,,,,,,2025-07-04T01:19:25.908830,Açaí,Birigui
b691f212c26cad8d0c2a95f05d653736,Aiko Lanches e Açaí,Novidade,0.0,Não informado,"R$ 5,00",2.3 km,https://www.ifood.com.br/delivery/birigui-sp/aiko-lanches-e-acai-nucleo-habitacional-ivone-alves-palma/b775341c-062d-4a38-8793-209abe30dd59,,,,,,2025-07-04T01:19:26.224899,Açaí,Birigui
75e072bd0790f4c46e8eceb27fd8a70d,Jd Acai,Açaí,0.0,Não informado,"R$ 2,99",2.3 km,https://www.ifood.com.br/delivery/birigui-sp/jd-acai-nucleo-habitacional-thereza-maria-barbieri/21033f76-c8e1-4422-9280-8c82dfae38a0,,,,,,2025-07-04T01:19:26.519171,Açaí,Birigui
aefd4d9c9d42ce9a45da6723a9554c5a,Paganini Açai,Novidade,0.0,Não informado,"R$ 2,99",2.3 km,https://www.ifood.com.br/delivery/birigui-sp/paganini-acai-residencial-monte-libano/959649db-a1b5-4c91-8e20-a28296163cf4,,,,,,2025-07-04T01:19:26.811862,Açaí,Birigui
aaf36fdd21d07f487702c299b806bf18,Acai da LS,Novidade,0.0,Não informado,"R$ 5,00",2.5 km,https://www.ifood.com.br/delivery/birigui-sp/acai-da-ls-joao-crevelaro/14ab5b17-1da0-40d0-aee0-1945ab35e877,,,,,,2025-07-04T01:19:27.100863,Açaí,Birigui
9a4c26a592d0471706bfe9d5168df123,Casa do Açaí,Novidade,0.0,Não informado,"R$ 4,00",2.6 km,https://www.ifood.com.br/delivery/birigui-sp/casa-do-acai-nucleo-habitacional-thereza-maria-barbieri/2e5e594c-b867-43b4-b5be-e905c85190f7,,,,,,2025-07-04T01:19:27.388995,Açaí,Birigui
