id,nome,categoria,avaliacao,tempo_entrega,taxa_entrega,distancia,url,endereco,telefone,horario_funcionamento,pedido_minimo,promocoes,extracted_at,category,city
1ab51fd0416d522203fc0e812528dbce,Início,Restaurantes,4.8,Não informado,Grátis,1.6 km,https://www.ifood.com.br/delivery/birigui-sp/dona-benedita-marmitaria-parque-residencial-america/0adc1e66-24c9-41ab-bc83-dea19d99e681,"R. Euclídes da Cunha,
91",,,,,2025-07-04T01:21:23.269200,Marmita,Birigui
7cca34c528eae640f12ce9d92469beb2,Marmita,Ordenar,4.8,Não informado,Grátis,1.6 km,https://www.ifood.com.br/delivery/birigui-sp/dona-benedita-marmitaria-parque-residencial-america/0adc1e66-24c9-41ab-bc83-dea19d99e681,,,,,,2025-07-04T01:21:23.443631,Marmita,Birigui
27f62cbe2de8f8504804106974ce5bfc,Dona Benedita Marmitaria,Marmita,4.8,Não informado,Grátis,1.6 km,https://www.ifood.com.br/delivery/birigui-sp/dona-benedita-marmitaria-parque-residencial-america/0adc1e66-24c9-41ab-bc83-dea19d99e681,,,,,,2025-07-04T01:21:23.531254,Marmita,Birigui
173ea25edf65a850246b76b3c10c745d,Tradiçao na Brasa Reataurante Marmitas,Marmita,4.5,Não informado,"R$ 3,00",3.2 km,https://www.ifood.com.br/delivery/birigui-sp/tradicao-na-brasa-reataurante-marmitas-novo-parque-sao-vicente/bec5add3-dd7d-477f-89ed-0772f52f476a,,,,,,2025-07-04T01:21:23.995643,Marmita,Birigui
6e46abbf648548c24b4de58fb753647d,Sabor Na Brasa Marmitaria,Marmita,4.4,Não informado,"R$ 3,99",3.2 km,https://www.ifood.com.br/delivery/birigui-sp/sabor-na-brasa-marmitaria-jardim-toselar/b5aedeaa-7bb4-41d4-b2e6-6b6bebd07285,,,,,,2025-07-04T01:21:24.247708,Marmita,Birigui
921b0526dbf892e0705be2b1fb4bb363,Restaurante Tempero Caseiro,Marmita,0.0,Não informado,"R$ 3,99",0.8 km,https://www.ifood.com.br/delivery/birigui-sp/restaurante-tempero-caseiro-jardim-recanto-dos-passaros/3ce6b08c-762c-40fb-bf8f-9006f2a6c723,,,,,,2025-07-04T01:21:24.505789,Marmita,Birigui
4ce7e1650f087a1c72293a0d386485f2,Parmegiana Crocante - Jardim Popi,Novidade,0.0,Não informado,"R$ 1,99",0.3 km,https://www.ifood.com.br/delivery/birigui-sp/parmegiana-crocante---jardim-popi-jardim-popi/9055db8b-2536-4f78-b702-494e00ebc707,,,,,,2025-07-04T01:21:24.802322,Marmita,Birigui
f4997f74af54476b7f62c7a7382141e8,Terezinha - Sabores Caseiros,Marmita,0.0,Não informado,"R$ 5,99",1.1 km,https://www.ifood.com.br/delivery/birigui-sp/terezinha---sabores-caseiros-parque-das-nacoes/d5d47e01-64a9-4a26-a876-9e926e6728fc,,,,,,2025-07-04T01:21:25.082095,Marmita,Birigui
27c51af5eb909fbdc6aa3df4a6b9baa2,Confeitaria Oliveira & Marmitas,Novidade,0.0,Não informado,"R$ 5,99",1.2 km,https://www.ifood.com.br/delivery/birigui-sp/confeitaria-oliveira--marmitas-vila-xavier/cfdde63c-3a90-401d-8d1f-c628bef6a5be,,,,,,2025-07-04T01:21:25.345034,Marmita,Birigui
f7db7b35ef702c17f4431ad6e439d552,Restaurante e Marmitaria Jeito Caipira,Marmita,4.9,Não informado,"R$ 3,00",0.6 km,https://www.ifood.com.br/delivery/birigui-sp/restaurante-e-marmitaria-jeito-caipira-vila-moimaz/e2632001-30de-4893-9a89-191743b602a0,,,,,,2025-07-04T01:21:25.615513,Marmita,Birigui
