id,nome,categoria,avaliacao,tempo_entrega,taxa_entrega,distancia,url,endereco,telefone,horario_funcionamento,pedido_minimo,promocoes,extracted_at,category,city
7d00f69f038bcffaaa2592aba8b99478,Início,Restaurantes,4.7,Não informado,Grátis,0.7 km,https://www.ifood.com.br/delivery/birigui-sp/panquecas-da-le-vila-moimaz/b5e59809-2148-41ed-98ef-e0432a3af56b,"R. Euclídes da Cunha,
91",,,,,2025-07-04T01:20:58.458592,Salgados,Birigui
1af5a42e6d066f494d78298ffcde2161,Salgados,Ordenar,4.7,Não informado,Grátis,0.7 km,https://www.ifood.com.br/delivery/birigui-sp/panquecas-da-le-vila-moimaz/b5e59809-2148-41ed-98ef-e0432a3af56b,,,,,,2025-07-04T01:20:58.547848,Salgados,Birigui
6f68ecb118b41e258ce634bff35e1a92,Panquecas da Lê,Novidade,4.7,Não informado,Grátis,0.7 km,https://www.ifood.com.br/delivery/birigui-sp/panquecas-da-le-vila-moimaz/b5e59809-2148-41ed-98ef-e0432a3af56b,,,,,,2025-07-04T01:20:58.589384,Salgados,Birigui
38072f40bcc3b68c0a42f90acd11cfed,Vó Preta Salgados,Salgados,4.7,Não informado,"R$ 2,99",0.2 km,https://www.ifood.com.br/delivery/birigui-sp/vo-preta-salgados-patrimonio-silvares/b7907b09-5e3d-4d67-8490-9a240acddcb3,,,,,,2025-07-04T01:20:58.809377,Salgados,Birigui
553f25e7820cca34eb5c10a1727e5ebf,Deny Salgados,Salgados,5.0,Não informado,"R$ 6,99",1.3 km,https://www.ifood.com.br/delivery/birigui-sp/deny-salgados-quemil/ca939139-d8f6-4801-beb8-43db90d5bede,,,,,,2025-07-04T01:20:58.931932,Salgados,Birigui
5f5421291b063e4c7009c3bb37c412b4,Bar Alvorada,Salgados,4.9,Não informado,"R$ 6,99",1.3 km,https://www.ifood.com.br/delivery/birigui-sp/bar-alvorada-centro/33fd754f-8e70-4abf-9fc2-404fb47a48a9,,,,,,2025-07-04T01:20:59.057681,Salgados,Birigui
0fa898b7fbc4d77c69b4c965edbf9a1c,Alexandre Salgados & Doces,Novidade,0.0,Não informado,"R$ 5,99",1.3 km,https://www.ifood.com.br/delivery/birigui-sp/alexandre-salgados--doces-centro/a20b745f-e544-463c-91c7-a63b7223ff61,,,,,,2025-07-04T01:20:59.184729,Salgados,Birigui
9273806ef1346115f161f4238d4bee1c,Cris Salgados,Salgados,5.0,Não informado,"R$ 6,99",1.6 km,https://www.ifood.com.br/delivery/birigui-sp/cris-salgados-centro/b40f15bc-cfb1-44ce-8586-93b28b4adeba,,,,,,2025-07-04T01:20:59.319871,Salgados,Birigui
dc2f918882021cd49cbcd6c85081567e,Salgados Marchette,Salgados,4.8,Não informado,"R$ 5,99",1.8 km,https://www.ifood.com.br/delivery/birigui-sp/salgados-marchette-jardim-sao-braz/62a07178-79ab-48fb-8eb1-a8f3665cb55d,,,,,,2025-07-04T01:20:59.482433,Salgados,Birigui
30418821cab41f2b2c41c56e08ad385a,Rota do Sabor,Novidade,0.0,Não informado,"R$ 6,99",2.3 km,https://www.ifood.com.br/delivery/birigui-sp/rota-do-sabor-jandaia-residencial-parque/1bb2e79a-919c-4f16-895c-a1f62e3469b6,,,,,,2025-07-04T01:20:59.633563,Salgados,Birigui
839cf582548833e117f5d6bc984ae6dc,Salgados da Thay,Novidade,0.0,Não informado,"R$ 6,99",2.5 km,https://www.ifood.com.br/delivery/birigui-sp/salgados-da-thay-residencial-monte-libano/c25f2bcd-9373-4d50-8e17-f8015d56cca2,,,,,,2025-07-04T01:20:59.793786,Salgados,Birigui
ff1e8cd294b11c788a4e14ecd5051fe3,Lo Maionese,Salgados,0.0,Não informado,"R$ 6,99",1.7 km,https://www.ifood.com.br/delivery/birigui-sp/lo-maionese-jardim-sao-braz/0d3cb616-bf83-459f-a4a3-d2e1f60e4f7b,,,,,,2025-07-04T01:20:59.944190,Salgados,Birigui
0165709a5d5cd97b7a0080afd27e89df,Kassab´s Esfiharia,Salgados,0.0,Não informado,"R$ 6,00",2.1 km,https://www.ifood.com.br/delivery/birigui-sp/kassabs-esfiharia-centro/05c66f4b-2352-41f3-8ba6-3dfb68c4e856,,,,,,2025-07-04T01:21:00.099218,Salgados,Birigui
34ee5ae7a236b9387bfdb0a20251b391,Salgados Ponto Com,Salgados,5.0,Não informado,"R$ 7,00",3.0 km,https://www.ifood.com.br/delivery/birigui-sp/salgados-ponto-com-joao-crevelaro/cad91a04-d3e5-4239-a434-648b8f297b2a,,,,,,2025-07-04T01:21:00.244776,Salgados,Birigui
4dc164d845877ec798646d198b226c06,Hib's Food - Birigui,Salgados,4.8,Não informado,"R$ 5,98",3.1 km,https://www.ifood.com.br/delivery/birigui-sp/hibs-food---birigui-novo-jardim-stabile/6e2b53a7-5782-46f0-8457-34948edb27d0,,,,,,2025-07-04T01:21:00.403261,Salgados,Birigui
bcb86f452801334420c33c07190e1536,Dri Salgados,Salgados,4.9,Não informado,"R$ 7,00",4.2 km,https://www.ifood.com.br/delivery/birigui-sp/dri-salgados-jardim-vista-alegre/b7170be4-9297-459a-ba7b-40a2bcabd5c0,,,,,,2025-07-04T01:21:00.552826,Salgados,Birigui
