id,nome,categoria,avaliacao,tempo_entrega,taxa_entrega,distancia,url,endereco,telefone,horario_funcionamento,pedido_minimo,promocoes,extracted_at,category,city
248b83ac2d10af9adcdcfc1241959c37,Início,Restaurantes,5.0,Não informado,Grátis,2.5 km,https://www.ifood.com.br/delivery/birigui-sp/coti-lowcarb---culinaria-saudavel-jardim-sao-cristovao/fbdd9452-9cfe-4fcf-b1dc-f5422655a38e,"R. Euclídes da Cunha,
91",,,,,2025-07-04T01:22:18.628747,Saudável,Birigui
1e15b7da28abe899ba172df7bec0edd1,Saudável,Ordenar,5.0,Não informado,Grátis,2.5 km,https://www.ifood.com.br/delivery/birigui-sp/coti-lowcarb---culinaria-saudavel-jardim-sao-cristovao/fbdd9452-9cfe-4fcf-b1dc-f5422655a38e,,,,,,2025-07-04T01:22:18.714061,Saudável,Birigui
8a0221ef5279d3808a1b705b2ee6562f,Coti Lowcarb - Culinária Saudável,Novidade,5.0,Não informado,"R$ 6,99",2.5 km,https://www.ifood.com.br/delivery/birigui-sp/coti-lowcarb---culinaria-saudavel-jardim-sao-cristovao/fbdd9452-9cfe-4fcf-b1dc-f5422655a38e,,,,,,2025-07-04T01:22:18.755541,Saudável,Birigui
ffaad479297850a449282087787f2e7b,Lara's Gourmet,Saudável,5.0,Não informado,"R$ 4,99",0.7 km,https://www.ifood.com.br/delivery/birigui-sp/laras-gourmet-jardim-popi/f44ae205-f37f-41b0-8093-33fc05b7e0b3,,,,,,2025-07-04T01:22:18.971291,Saudável,Birigui
3fb6aeb22e520b31bfaa94a1ce45e000,Pratic Legumes e Verduras Processados,Novidade,0.0,Não informado,"R$ 3,99",0.7 km,https://www.ifood.com.br/delivery/birigui-sp/pratic-legumes-e-verduras-processados-jardim-sao-genaro/8e4a2e88-cd37-42f0-9885-5afbf318564a,,,,,,2025-07-04T01:22:19.103207,Saudável,Birigui
f05739ca55c81defd404bac4019d5548,Da Chef Pro Neném - Biscoitos Para Cães,Saudável,0.0,Não informado,"R$ 2,99",0.4 km,https://www.ifood.com.br/delivery/birigui-sp/da-chef-pro-nenem---biscoitos-para-caes-vila-moimaz/6ba31356-111c-4b3d-893e-e8d4f556e02f,,,,,,2025-07-04T01:22:19.227904,Saudável,Birigui
eba8b2009f6e56a6fe60db8c874a3730,Empório Fit Gourmet,Novidade,0.0,Não informado,"R$ 3,99",1.1 km,https://www.ifood.com.br/delivery/birigui-sp/emporio-fit-gourmet-centro/d8effba1-cdc6-4d14-b1d8-f8415b86fbcb,,,,,,2025-07-04T01:22:19.349777,Saudável,Birigui
d64ec048e06a253a49bc369d7d67c05e,Sucos S/a - Saladas & Wraps\birigui,Novidade,0.0,Não informado,"R$ 5,99",1.9 km,https://www.ifood.com.br/delivery/birigui-sp/sucos-s-a---saladas--wrapsbirigui-centro/0d937f5b-894d-4af1-98e7-3cc2eaa554c3,,,,,,2025-07-04T01:22:19.470229,Saudável,Birigui
2cba0053e08e8556bd53f4d46dc6dbf4,Vibe Naturais - Mercado Saudável,Saudável,4.7,Não informado,"R$ 4,99",1.9 km,https://www.ifood.com.br/delivery/birigui-sp/vibe-naturais---mercado-saudavel-centro/c1f62787-014e-4841-9da9-9d3b558c0863,,,,,,2025-07-04T01:22:19.595049,Saudável,Birigui
8b1637b3ace303f1608e582a4dea9a4d,Muck Vitaminas,Saudável,5.0,Não informado,"R$ 6,00",2.0 km,https://www.ifood.com.br/delivery/birigui-sp/muck-vitaminas-centro/04e14578-5485-4d93-be50-569a49a8a027,,,,,,2025-07-04T01:22:19.739563,Saudável,Birigui
f64e9df7ed05bf73c5ab1033f5f7add2,Sálvia Culinária Saudável,Saudável,5.0,Não informado,"R$ 7,50",2.0 km,https://www.ifood.com.br/delivery/birigui-sp/salvia-culinaria-saudavel-centro/7b760179-cdfa-4df0-85fa-d680ba94002e,,,,,,2025-07-04T01:22:19.886969,Saudável,Birigui
86f0e9fe4e3ddd9c7fa6c91fdd34ee61,Marmitas 018 fit,Saudável,5.0,Não informado,"R$ 10,00",2.2 km,https://www.ifood.com.br/delivery/birigui-sp/marmitas-018-fit-recanto-verde/7b4e95d2-ae54-4bcf-90b6-0ea82916c5c8,,,,,,2025-07-04T01:22:20.045717,Saudável,Birigui
20f2961e3df0efefc5d5fe8e51ff5029,Laranja.com Sucos & Salgados,Saudável,0.0,Não informado,"R$ 6,00",2.4 km,https://www.ifood.com.br/delivery/birigui-sp/laranjacom-sucos--salgados-jardim-perola/20c98fed-2b4c-4fba-b25a-cb3eb964fec2,,,,,,2025-07-04T01:22:20.182710,Saudável,Birigui
b58f4b0a0f137ae72eeab0fe6599a4f0,UP SALADAS - DELIVERY SAUDÁVEL,Novidade,0.0,Não informado,"R$ 7,00",3.4 km,https://www.ifood.com.br/delivery/birigui-sp/up-saladas---delivery-saudavel-residencial-pedro-marin-berbel/78abef67-d742-4e5e-bda9-081e1cbd2adc,,,,,,2025-07-04T01:22:20.323396,Saudável,Birigui
1b931ba9e1786d56cd6fcee0b308dbfe,Hortifruti Concordia,Saudável,5.0,Não informado,"R$ 7,00",3.5 km,https://www.ifood.com.br/delivery/birigui-sp/hortifruti-concordia-novo-jardim-stabile/38aafbcf-df50-4fde-a94d-1fd1f5301f4a,,,,,,2025-07-04T01:22:20.465973,Saudável,Birigui
